Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665533162.1037872,364,1665461162,0,GPS1_Frame,42.33732223510742,-71.08679962158203,8.199999809265137,328088.28125,4689339.0,19,T,5
1665533163.0939746,365,1665461163,0,GPS1_Frame,42.33732604980469,-71.08679962158203,8.100000381469727,328088.6875,4689339.0,19,T,5
1665533164.101455,366,1665461164,0,GPS1_Frame,42.33732604980469,-71.0867919921875,8.199999809265137,328089.0,4689339.0,19,T,5
1665533165.0915449,367,1665461165,0,GPS1_Frame,42.33732604980469,-71.0867919921875,8.300000190734863,328089.25,4689339.5,19,T,5
1665533166.1031587,368,1665461166,0,GPS1_Frame,42.33732986450195,-71.08678436279297,8.399999618530273,328089.59375,4689339.5,19,T,5
1665533167.1040618,369,1665461167,0,GPS1_Frame,42.33732986450195,-71.08678436279297,8.300000190734863,328089.9375,4689339.5,19,T,5
1665533168.0961614,370,1665461168,0,GPS1_Frame,42.33732986450195,-71.08677673339844,8.100000381469727,328090.21875,4689340.0,19,T,5
1665533169.0985055,371,1665461169,0,GPS1_Frame,42.33733367919922,-71.08677673339844,8.199999809265137,328090.46875,4689340.0,19,T,5
1665533170.0916905,372,1665461170,0,GPS1_Frame,42.33733367919922,-71.0867691040039,8.300000190734863,328090.75,4689340.0,19,T,5
1665533171.1010087,373,1665461171,0,GPS1_Frame,42.33733367919922,-71.0867691040039,8.399999618530273,328090.96875,4689340.0,19,T,5
1665533172.1167831,374,1665461172,0,GPS1_Frame,42.33733367919922,-71.0867691040039,8.399999618530273,328091.1875,4689340.0,19,T,5
1665533173.107065,375,1665461173,0,GPS1_Frame,42.33733367919922,-71.08676147460938,8.399999618530273,328091.4375,4689340.0,19,T,5
1665533174.100878,376,1665461174,0,GPS1_Frame,42.337337493896484,-71.08676147460938,8.300000190734863,328091.65625,4689340.5,19,T,5
